notation,count
25FF411,14
96A5(VIRTUS),14
33A12,14
25F23(LION)(+13),14
41A7751,14
71R112,14
11B3222,14
11V5,14
71F2455,14
46C1215,14
91B111,14
41C43,14
71H8822,14
41D267,14
73C8614,14
11F4135,14
11HH(DYMPNA),14
25L0,14
11H(LOUIS IX),13
98B(ARISTOTLE),13
92D161,13
92L1122,13
24D,13
92L7,13
71T76,13
73C86451,13
11I63(EVE),13
41C5,13
73E33,13
98B(DIOGENES)51,13
25I3,13
48CC7354,13
71Y1(Prov. 1:8),13
11R512,13
92L1212,13
98B(MARK ANTONY),13
11D335,13
73C4212,13
73D82(REED),13
73C7216,13
11D3341,13
71C13111,13
11HH(CATHERINE)6,13
49D36,13
11V4,13
11HH(MARTHA),13
73D413,13
11D22,13
26B2,13
49E91,13
11D236,13
46A1241(GOLDEN FLEECE),13
94H2,13
11H(VINCENT),13
73D354,13
11H(NICHOLAS)41,13
73E16,13
82A(AMANT),13
94F113,13
23F43,13
73E3,13
73C52,13
11H(IGNATIUS),13
31A72,13
25F23(WOLF),13
31A415,13
97CC6,13
71F383,13
98B(ALEXANDER THE GREAT)131,13
11MM31,13
45H4,13
11F741,13
11HH(MARY MAGDALENE)1,13
46B,13
11H(DENIS),13
11L532,13
11H(FRANCIS)37,13
71H334,13
71H734,13
42A3,13
11D351,13
11FF4222(+3),13
33C227,13
47D8(ANVIL),13
11Q71429,12
25G21,12
71T571,12
71A,12
42D27,12
94I163,12
73E21,12
73A53,12
61B2(PARACELSUS)11,12
11Q43,12
61D(MARMAGNE),12
71B322,12
46C24(+63),12
73D27,12
73C42,12
11H(LAWRENCE),12
48CC7315(VIOLA DA GAMBA),12
31AA2351,12
73C435,12
73C8122,12
41D92,12
61B2(PHILIPPE DE COMMINES)3,12
71E1142,12
25F26(RABBIT),12
71K2821,12
31D17,12
11I62(AARON),12
73D3222,12
11H(MAURUS),12
11H(FRANCIS XAVIER),12
49L12(KL),12
23L43,12
11D321,12
31AA2112,12
71D,12
98B(CYRUS),12
48CC73,12
33C23,12
43C244,12
71H1632,12
11Q621,12
11Q732421,12
25H2,12
31D5,12
47I123,12
95A(PYRAMUS & THISBE)24,12
92C4541,12
95A(ACHILLES)1231,12
71B35211,12
44A5(+2),12
71E13541,12
47I2112,12
71W3111,12
11M2,12
73D4111,12
11I62(MICAH),12
33C91,12
11V3,12
73B71,12
11H(ACHATIUS)61,12
61B2(Henri IV)22(+1),12
43B31,12
73D3131,12
25I41,12
94H3,12
71B33221,12
11H(ANTONY ABBOT)413,12
73C8522,12
71E31111,12
11HH(CATHERINE)41,12
45K142,12
71E115,12
92C441,12
45H3(+2),12
73D3511,12
44B15122,12
52A44,12
92L4122,12
11F831,12
34B12,11
11H(GREGORY OF NAZIANZUS),11
47I1421,11
11H(JOHN)1,11
31A2764,11
73C5241,11
55CC11,11
11H(WILLIAM OF MALEVAL),11
92D192,11
57A62,11
73F22315,11
61D(HOLY ROMAN EMPIRE),11
73C8152,11
48CC73513,11
73C31,11
71E138,11
71H33,11
12F213,11
71E1211,11
25I,11
71C3134,11
95A(PHILEMON & BAUCIS)51,11
92L121,11
92I711,11
25F24(DEER),11
25F32(RAVEN),11
11Q731126,11
"83(ANON., Een cluyte van Plaeyerwater)",11
11H(THOMAS BECKET)68,11
11Q71423,11
33A3,11
73B593,11
71F21233,11
12E61,11
71A7,11
11D4116,11
82AA(AMELIE),11
96A5(VICTORIA),11
43C94,11
71E1164,11
47I2211,11
43C128,11
73D75,11
31A45,11
73C72631,11
43C5,11
31B6214,11
11F4231,11
44B1921,11
54E31,11
48C10,11
61A(1665),11
73C727,11
61B2(JOHANN WILHELM VAN DE PALTS),11
46A122(PHILIPPE DE COMMINES)1,11
61BB111,11
92B17,11
41E,11
31A25551(+932),11
98A,11
71K2134,11
73B6422,11
73E423,11
31G311,11
56F2,11
44B1622,11
82A(MEDORO),11
11I62(SOLOMON)3,11
49L61,11
11H(PETER)11,11
25HH15,11
73B124,11
41A636,11
11I62(ZEPHANIAH),11
92B222,11
11H(JOSEPH OF ARIMATHAEA),11
11F12,11
25G3(OAK),11
71I33,11
98B(TIBERIUS),11
31A2534,11
11Q73242,11
47I1111,11
98B(COMMODUS),11
92C33,11
11,11
25F33(FALCON),11
11V2,11
49G311,11
41C211,11
33B11,11
44G3121,11
33C232,11
73D761,11
"86(SOO D'OUDE SONGEN, SOO PEPEN DE IONGHEN)",11
98C(CLEOPATRA),11
71E,11
25FF3(PHOENIX),11
73D245,11
23L31,11
48A1,11
96B,11
11P11,11
71C1312,11
92L1912,11
11F243,11
48CC735,10
11K1,10
41C65,10
71A811,10
11H(GEORGE)6,10
11H(QUIRINUS),10
44B1,10
98C(LUCRETIA),10
71A332,10
11F9,10
11F111,10
46C291,10
41A2111,10
11HH(URSULA)41,10
73A2341,10
11G184,10
71C3327,10
11H(FRANCIS OF PAOLA)53,10
23O5,10
"83(VIRGIL, Aeneis)",10
73C13,10
41E1,10
98B(HOMER),10
73AA523(+11),10
11P23,10
73A3,10
73C131,10
71P414,10
11H(IGNATIUS)3,10
92D1511,10
73D311,10
11H(LOUIS OF TOULOUSE),10
11D36,10
11Q7321,10
73C7454,10
47D8(KNIFE),10
92B491,10
11D3252,10
73C7251,10
23L32,10
71E11421,10
45A3,10
95A(PYRAMUS & THISBE),10
71H14,10
92C479,10
73E751,10
71B3223,10
31D12,10
11G15,10
71A351,10
25FF42,10
12A0,10
41D2,10
42B74,10
47I2124,10
11H(TIMOTHY),10
45A1411,10
49L73,10
71H912,10
48CC7324,10
73G411,10
95B(ATALANTE)2111,10
11N2,10
42G,10
73B13(+3),10
71P4121,10
23L22,10
47I22311,10
31B7,10
43A144(+6),10
"98B(MARIUS, C.)3",10
71I432,10
25F23(LEOPARD),10
92B3413,10
73F,10
82A(THEODOSIUS),10
92L714111,10
41B31,10
73C72213,10
71D1251,10
73E75,10
11H(SEBASTIAN)64,10
61B11,10
71H1451,10
71X1(Ps. 101)1,10
71E123,10
11D422,10
48C75111,10
61H(MONS WATTENA),10
11H(AUGUSTINE)342,10
11H(ATHANASIUS),10
11HH(CATHERINE)631,10
52A51,10
71F212,10
92L671,10
71A5,10
25F23(ERMINE)(+351),10
11K43,10
11I432,10
92M2,10
"86(CRESCENT ILLAE, CRESCETIS AMORES)(+0)",10
11HH(GERTRUDE),10
31A236,10
11FF25,10
71I324,10
11H(PAUL)1,10
73A2211,10
11G185,10
73C7221,10
49C122,10
71B42,10
71Q742,10
12B63,9
12A4231,9
92B4233,9
71L2713,9
25F32(CROW),9
"46A122(PELE, Robert le)1",9
71H8122,9
11F266,9
11F4322,9
11I62(BARUCH),9
24C,9
47I148,9
71E1312,9
73D811,9
31A25552(+9211),9
11H(ANTONY ABBOT)33,9
41C11,9
11F624,9
46B3311,9
11DD312,9
61B2(CHARLES I),9
43C111,9
11HH(BARBARA)615,9
73D33,9
71A32,9
25F23(FOX),9
92B1121,9
11L2,9
54F121,9
48CC753,9
95A(ORESTES),9
54A43,9
13B4,9
43C92,9
44G321(SCOURGE),9
71H24,9
71Z12,9
71T,9
49L62,9
71T63,9
44A51(ENGLAND),9
25FF332(+712),9
"83(CATS, J.,  Het Spaensch Heydinnetje)",9
57BB251,9
"98B(PAULUS, L.A.)51",9
95B(IPHIGENIA),9
49G1(+1),9
48C5141,9
11A,9
14,9
31BB13,9
92B252,9
95A(JASON),9
46C1463,9
61B2(Erasmus of Rotterdam),9
71H849,9
26C32,9
73C4211,9
98B(ALEXANDER THE GREAT)68,9
45K4,9
11HH(CHRISTINA),9
91E4611,9
23L21,9
25FF2411,9
25F34,9
73D3232,9
11I62(HAGGAI)3,9
47D8(WINDLASS),9
"98B(SABINUS, J.)6",9
71H3152,9
73D7223,9
11F712,9
96A237,9
95B(NIOBE)62,9
11HH(MARY MAGDALENE)21,9
49L64,9
11Q73241,9
71P412,9
25II1,9
61K(PLATONISM),9
12A31,9
92C411,9
11HH(...),9
96A5(ABUNDANTIA),9
92I2,9
11D3221,9
73EE12,9
11Q71444(+3),9
82A(SILVIO),9
73E361,9
95A(CEPHALUS)2141,9
31A2351,9
71B3221,9
32B311(ENGLISHMEN),9
11I62(...),9
98B(HANNIBAL)4,9
41C6,9
71A61,9
11H(BONIFACE),9
11I62(ELIJAH),9
71T52,9
11H(FRANCIS)343,9
11H(BAVO),9
73A522(+13),9
71N1324,9
11H(PAUL THE HERMIT),9
23F44,9
11I411,9
71R314,9
11P31113,9
41C326,9
71M76,9
71C12841,9
11P163(+3),9
48C521,9
71F641,9
92L42178,9
44G33,9
11F6,9
45A31,9
73D343,9
71A32122,9
25F23(LYNX),9
71E112711,9
25F62,9
11N41,9
95B(PHILOMELA & PROCNE)67,9
11H(BASIL THE GREAT),9
71H911,9
11I72(HEROD)5,9
12B211,9
11Q7327,9
32B321,9
73F224,9
73E363,9
61B111(+55),9
92,9
11H(JAMES THE GREAT)5,9
71F522,9
11I62(DANIEL),9
71R314,9
49C111,8
25F44,8
73C223,8
73F2535,8
71P4311,8
92I2278,8
73C7247,8
98B(PLATO)3,8
96C(ROMULUS)321,8
92L112,8
11HH(LUCY)64,8
73F223152,8
71U4,8
31E234631(+7),8
73E771,8
73C812,8
13B1,8
48CC73511,8
73B2(+3),8
11U11,8
93A211,8
73D3231,8
96A5(JUSTITIA),8
94L41,8
47I4132,8
44A51(SCOTLAND),8
11G191,8
71X1(Ps. 51)1,8
41C711,8
71F6,8
12A631,8
31AA31,8
11I63(BATHSHEBA),8
92C27,8
73DD652,8
11I62(JOB),8
11H(JUDOC),8
73B64222,8
32B311(GREEKS),8
71Z1,8
11C211,8
11F622,8
73F2237231,8
44B194,8
47I4222,8
