notation,count
45C15(BOW AND ARROW),10
11H(LAURENCE),10
26B1,10
22C4(WHITE),10
48C1412,10
47I422,10
61E(BASEL),10
11D3121,10
23U22,10
41A37,10
47I15(PLOUGH),10
11H(BENEDICT),10
43C912,10
42B71,10
11QQ7121(CHAPEL),10
41A651,10
41D223(FROCK),10
41D222(NECKERCHIEF),10
41C121,10
11H(SEBASTIAN)62,10
11H(FRANCIS)59,10
61B111(+54),10
11H(ANTONY OF PADUA),10
31A25112,10
47I214(+9536),10
25HH114,10
43C11421,10
47D8(HAMMER),10
24A6,10
47G543,10
46C13141(+745),10
31D14(+55),10
61B2(...)(+55),10
61E(NÖRDLINGEN),10
61E(WILLINGSHAUSEN),10
31AA2245,10
82AA(LADY MACBETH),10
25H153,10
49C3,10
45H3(+22),10
61BB2(+522),10
73B82,10
47I15(SICKLE),10
"61BB2(SCHOLDERER, Luise)11",10
61F(KLOSTER EBERBACH),10
31D12(+51),10
11P31516,10
48C168(CORBEL),10
61E(ORVIETO),10
46C2237,10
25H135,10
61E(ULM),10
61F(KLOSTER ALTENBERG (Lahn)),10
61F(DEUTSCHES HAUS),10
61E(KAMP (Kamp-Bornhofen)),10
31A2772,9
31AA234,9
3,9
47I2213,9
48C5111,9
24B1,9
73B13,9
48C7322,9
11HH(CECILIA),9
41B311,9
46C1811,9
48C91,9
48C7312,9
47G52,9
61E(PAESTUM),9
61F(PALAZZO DEL BARGELLO (Firenze)),9
94L,9
11Q7121(DOME),9
61E(PISA),9
61F(MUSEO NAZIONALE DI NAPOLI),9
44BB113,9
25G3(PINE),9
11H(MATTHEW),9
61D(LAGUNA DI VENEZIA),9
42E141,9
46C123,9
61F(RÖMERBERG (Frankfurt am Main)),9
42G,9
73C121,9
24A,9
"61B2(BECKMANN, Max)11(+512)",9
31AA533(BUN),9
41C4,9
31A2545,9
49G1,9
25F22,9
41A413,9
31A25432,9
61D(TEVERE),9
43C241,9
41A733,9
46A13,9
25F711(BEETLE),9
92K1,9
43C121,9
25II9,9
11K,9
34B131,9
42E434,9
92B5,9
25H(+1),9
25G21(CHERRY),9
11Q51,9
73E341,9
73D36,9
45C15(ARROW),9
31A14(+1),9
41A6712,9
25G3(SPRUCE),9
25H2323,9
11H(DOMINIC),9
47H311,9
11G1921,9
73A521,9
73D721,9
73D313,9
11HH(BARBARA),9
48C1634,9
22C32,9
82AA(KRIEMHILD),9
31A2331(+4),9
11H(NICHOLAS),9
73B4,9
11F715,9
11I4,9
11Q733,9
42B742(2),9
31A247,9
31D14(+54),9
61B2(+523),9
25HH156,9
73D411,9
31D13(+54),9
49M412,9
31A231(+31),9
61D(TÜRKEI),9
42B742(1),9
47I213(+9536),9
25H1(+1),9
92D19164,9
46C2831,9
82A(ROMEO),9
11Q714113,9
11Q7131(CHAPEL),9
47I2112(+945),9
82A(HAGEN VON TRONJE),9
48C7311(+1),9
92BB121,9
47I421,9
44B12,9
41C2111,9
11G4,9
25I146(+1),9
31B6212(+4),9
73D66,9
43C786,9
48C755,9
31A(+54),9
41A345,9
61E(LINDENFELS),9
61E(STEINHEIM (Hanau)),9
61E(KIEDRICH),9
61F(BRÖMSERHOF),9
61E(FRAUENSTEIN),9
61BB2(+513),9
48C1614,9
61F(SCHLOSS FÜRSTENAU),9
61D(ALTO ADIGE),9
73A52,9
61F(WETZLARER DOM),9
11Q7121(WEST FACADE),9
61E(GROßEN-LINDEN),9
"83(SHAKESPEARE, Macbeth)",9
61D(GASTERNTAL),9
61F(LIEBFRAUENKIRCHE),9
61E(OBERLAHNSTEIN),9
61F(MARKSBURG),9
61F(ALTES RATHAUS),9
61F(BURG DEHRN),9
61E(BERGNASSAU (Nassau)),9
61E(NASSAU (Lahn)),9
61F(KIRCHENBURG),9
61F(BURG ALZENAU),9
11HH(CLARE),9
31A545,8
61D(FEHMARN),8
31A23,8
26B2,8
31B62313,8
11Q7121(APSE),8
31AA545,8
42AA51,8
73D,8
48C8311,8
41D2421,8
25F25(ELEPHANT),8
11H(MARK),8
11HH(VERONICA),8
11H(PAUL)9,8
73B2,8
11D322,8
11H(CHRISTOPHER),8
48C7521,8
31AA14(+1),8
"83(GOETHE, Götz von Berlichingen)",8
61F(PALAZZO VECCHIO (Firenze)),8
96A5(VICTORIA),8
48C513(+1),8
11Q7121(CAMPANILE),8
61E(POZZUOLI),8
41D223(BLOUSE),8
61E(FRANKFURT-SACHSENHAUSEN),8
61F(PALAZZO DELLE PRIGIONI (Venezia)),8
61F(EDIFICIO DI EUMACHIA (Pompei)),8
26C3,8
